generator_id,level_id,width,height,solid_density,empty_density,enemy_count,enemy_density,reward_count,reward_density,block_density,pipe_density,gap_count,gap_density,max_gap_width,linearity_r2,nonlinearity,surface_resid_std,surface_std,leniency,tile_entropy,column_entropy,unique_column_ratio,compression_ratio,within_ncd,distance_to_original_ncd,ncd_pairs,distance_to_original_centroid
mariogan,mariogan::level_24.txt,168,14,0.13052721088435373,0.8652210884353742,10,0.05952380952380952,1,0.005952380952380952,0.1488095238095238,0.17261904761904762,3,0.041666666666666664,3,0.0010059762360605795,0.9989940237639394,1.608696787851614,1.5994783783801991,0.7749953624896337,0.7511397475861054,2.911568811786824,0.16071428571428573,0.07568710359408033,0.7306290283774906,0.851949864333206,1770,3.333308496049742
mariogan,mariogan::level_25.txt,168,14,0.11522108843537415,0.8813775510204082,8,0.047619047619047616,1,0.005952380952380952,0.07142857142857142,0.27976190476190477,2,0.02976190476190476,4,0.04760461763079127,0.9523953823692087,1.4351910034749242,1.4615719466497512,0.7668013186646763,0.7260687578414582,2.6707434457422403,0.1488095238095238,0.07822410147991543,0.7306290283774906,0.851949864333206,1770,3.7961623833393747
mariogan,mariogan::level_26.txt,168,14,0.11054421768707483,0.8826530612244898,16,0.09523809523809523,0,0.0,0.15476190476190477,0.20833333333333334,1,0.005952380952380952,1,0.020677741398163474,0.9793222586018365,1.4066779118020158,1.412913555684772,0.8831371448527028,0.7111747949755574,2.271382237889358,0.11904761904761904,0.07019027484143764,0.7306290283774906,0.851949864333206,1770,4.15763840171055
mariogan,mariogan::level_27.txt,168,14,0.12329931972789115,0.8732993197278912,8,0.047619047619047616,0,0.0,0.11904761904761904,0.07738095238095238,6,0.1488095238095238,17,0.013322224391372206,0.9866777756086278,1.9788101722663103,1.9784326900797526,0.4453021229583317,0.6651157263887599,3.1348560748571956,0.19047619047619047,0.07230443974630021,0.7306290283774906,0.851949864333206,1770,3.428692941235119
mariogan,mariogan::level_28.txt,168,14,0.11181972789115646,0.8830782312925171,12,0.07142857142857142,3,0.017857142857142856,0.125,0.125,1,0.13690476190476192,23,0.0013506554474592702,0.9986493445525407,1.6341915016742277,1.6240569531429554,0.40154869067103105,0.6785830706171198,3.0361899002823076,0.17857142857142858,0.07780126849894292,0.7306290283774906,0.851949864333206,1770,3.5810177119602615
mariogan,mariogan::level_29.txt,168,14,0.10374149659863946,0.8924319727891157,9,0.05357142857142857,0,0.0,0.11904761904761904,0.16071428571428573,2,0.047619047619047616,4,0.002546286504422124,0.9974537134955779,1.2486972038648214,1.242499971958598,0.7380936740800984,0.6551608231175394,2.354253753228744,0.13690476190476192,0.06892177589852008,0.7306290283774906,0.851949864333206,1770,4.197767208478571
mariogan,mariogan::level_3.txt,168,14,0.09991496598639456,0.8962585034013606,9,0.05357142857142857,2,0.011904761904761904,0.20833333333333334,0.06547619047619048,4,0.22023809523809523,27,0.05808245353088659,0.9419175464691134,1.8107067841141227,1.8517239834404966,0.3483798873258442,0.6168184841642812,2.902547304648159,0.11904761904761904,0.07061310782241015,0.7306290283774906,0.851949864333206,1770,4.481843778632608
mariogan,mariogan::level_30.txt,168,14,0.13095238095238096,0.8652210884353742,9,0.05357142857142857,1,0.005952380952380952,0.13690476190476192,0.14285714285714285,2,0.011904761904761904,1,0.17729995330390558,0.8227000466960944,1.3857082915990215,1.5185144699290638,0.8977260259671235,0.7355751188381006,2.8320030775114104,0.1488095238095238,0.07610993657505286,0.7306290283774906,0.851949864333206,1770,7.681529679759404
mariogan,mariogan::level_31.txt,168,14,0.12457482993197279,0.8707482993197279,11,0.06547619047619048,3,0.017857142857142856,0.17261904761904762,0.13690476190476192,3,0.07142857142857142,7,0.03774125186747579,0.9622587481325242,1.4354026854143576,1.4538710258804959,0.6435450521464953,0.7447848138212649,3.2895165199046903,0.16071428571428573,0.07780126849894292,0.7306290283774906,0.851949864333206,1770,3.1526766609495684
mariogan,mariogan::level_32.txt,168,14,0.11734693877551021,0.877125850340136,13,0.07738095238095238,0,0.0,0.17857142857142858,0.14285714285714285,4,0.14285714285714285,15,0.01025729116206442,0.9897427088379356,2.5736341471389848,2.570716628563911,0.4654270986745214,0.7236844914162279,3.2282137476337973,0.17261904761904762,0.07695560253699789,0.7306290283774906,0.851949864333206,1770,3.2635993859942944
