level_id,generator,judge_score
hopper::lvl-78.txt,hopper,-0.41112416068129826
hopper::lvl-79.txt,hopper,-0.6807729738323577
hopper::lvl-8.txt,hopper,-0.6624240087976946
hopper::lvl-80.txt,hopper,-0.2736918868071984
hopper::lvl-81.txt,hopper,-0.3754050279770124
hopper::lvl-82.txt,hopper,-0.07852737875484693
hopper::lvl-83.txt,hopper,-0.18499759230785875
hopper::lvl-84.txt,hopper,-0.4308840403222688
hopper::lvl-85.txt,hopper,-0.5961697400585105
hopper::lvl-86.txt,hopper,-0.5011612850426818
hopper::lvl-87.txt,hopper,-0.11728565774314305
hopper::lvl-88.txt,hopper,-0.23081069455831954
hopper::lvl-89.txt,hopper,-0.29220903352144556
hopper::lvl-9.txt,hopper,-0.21516379752050505
hopper::lvl-90.txt,hopper,-0.3898312201173447
hopper::lvl-91.txt,hopper,-0.3289637167534352
hopper::lvl-92.txt,hopper,-0.4707511834189451
hopper::lvl-93.txt,hopper,-0.17378307867963422
hopper::lvl-94.txt,hopper,-0.4457615557760201
hopper::lvl-95.txt,hopper,-0.6006785900366877
hopper::lvl-96.txt,hopper,-0.7911202001330355
hopper::lvl-97.txt,hopper,-0.8446555301162494
hopper::lvl-98.txt,hopper,-0.4228804235913159
hopper::lvl-99.txt,hopper,-1.1416533251507313
marioDiffusion::level_1.txt,marioDiffusion,-0.5763876928830054
marioDiffusion::level_10.txt,marioDiffusion,-1.0497735023472368
marioDiffusion::level_100.txt,marioDiffusion,-0.5380599482504261
marioDiffusion::level_11.txt,marioDiffusion,-1.3271449085297613
marioDiffusion::level_12.txt,marioDiffusion,-1.1172371497196074
marioDiffusion::level_13.txt,marioDiffusion,-1.3530350992499283
marioDiffusion::level_14.txt,marioDiffusion,0.22922473839791666
marioDiffusion::level_15.txt,marioDiffusion,-0.26273245120693844
marioDiffusion::level_16.txt,marioDiffusion,-0.7858068740887318
marioDiffusion::level_17.txt,marioDiffusion,-0.14838202026343297
marioDiffusion::level_18.txt,marioDiffusion,-0.5435270352312214
marioDiffusion::level_19.txt,marioDiffusion,-1.56973722260561
marioDiffusion::level_2.txt,marioDiffusion,-1.1268377053789662
marioDiffusion::level_20.txt,marioDiffusion,-0.5820559268547552
marioDiffusion::level_21.txt,marioDiffusion,0.16179374479995992
marioDiffusion::level_22.txt,marioDiffusion,-0.5812390859923205
marioDiffusion::level_23.txt,marioDiffusion,-0.8860174988832844
marioDiffusion::level_24.txt,marioDiffusion,-0.1774265682978601
marioDiffusion::level_25.txt,marioDiffusion,-1.0997278514369369
marioDiffusion::level_26.txt,marioDiffusion,-1.0240343688873537
marioDiffusion::level_27.txt,marioDiffusion,-1.159218379843403
marioDiffusion::level_28.txt,marioDiffusion,-0.8020129111115083
marioDiffusion::level_29.txt,marioDiffusion,-1.417175284738194
marioDiffusion::level_3.txt,marioDiffusion,-1.2847842641835558
marioDiffusion::level_30.txt,marioDiffusion,-1.1510150663682
marioDiffusion::level_31.txt,marioDiffusion,0.03754142326141972
marioDiffusion::level_32.txt,marioDiffusion,-1.1399681594922926
marioDiffusion::level_33.txt,marioDiffusion,-0.5023856221054512
marioDiffusion::level_34.txt,marioDiffusion,-0.6206083737884364
marioDiffusion::level_35.txt,marioDiffusion,-1.0950959324972978
marioDiffusion::level_36.txt,marioDiffusion,-0.8820344867602647
marioDiffusion::level_37.txt,marioDiffusion,-1.050929660307057
marioDiffusion::level_38.txt,marioDiffusion,-0.9002208245089425
marioDiffusion::level_39.txt,marioDiffusion,-1.5410419159739273
marioDiffusion::level_4.txt,marioDiffusion,-0.26167085173167615
marioDiffusion::level_40.txt,marioDiffusion,-0.8505383196039452
marioDiffusion::level_41.txt,marioDiffusion,-1.0887716020509044
marioDiffusion::level_42.txt,marioDiffusion,-0.8238104063020234
marioDiffusion::level_43.txt,marioDiffusion,-0.2636170802446283
marioDiffusion::level_44.txt,marioDiffusion,-1.288857523863056
marioDiffusion::level_45.txt,marioDiffusion,-1.2430617232491235
marioDiffusion::level_46.txt,marioDiffusion,-1.307951547723827
marioDiffusion::level_47.txt,marioDiffusion,-0.9341329365901454
marioDiffusion::level_48.txt,marioDiffusion,-1.9032569584315653
marioDiffusion::level_49.txt,marioDiffusion,-0.774834440147429
marioDiffusion::level_5.txt,marioDiffusion,-0.19062505100041224
marioDiffusion::level_50.txt,marioDiffusion,-0.733522542371317
marioDiffusion::level_51.txt,marioDiffusion,-0.8852818171612555
marioDiffusion::level_52.txt,marioDiffusion,-0.6391931639304772
marioDiffusion::level_53.txt,marioDiffusion,-1.9055463086702642
marioDiffusion::level_54.txt,marioDiffusion,-0.37821598782355714
marioDiffusion::level_55.txt,marioDiffusion,-1.102723479379722
marioDiffusion::level_56.txt,marioDiffusion,-0.34877612294877425
marioDiffusion::level_57.txt,marioDiffusion,-1.1830711679322432
marioDiffusion::level_58.txt,marioDiffusion,-0.22611507143767043
marioDiffusion::level_59.txt,marioDiffusion,-0.1374099663711308
marioDiffusion::level_6.txt,marioDiffusion,-0.06040348884568916
marioDiffusion::level_60.txt,marioDiffusion,-1.1337996704691988
marioDiffusion::level_61.txt,marioDiffusion,-0.11804867158936282
marioDiffusion::level_62.txt,marioDiffusion,-0.7257870965899311
marioDiffusion::level_63.txt,marioDiffusion,-1.2376315526962518
marioDiffusion::level_64.txt,marioDiffusion,-1.7717268346057669
marioDiffusion::level_65.txt,marioDiffusion,-0.1289843163359061
marioDiffusion::level_66.txt,marioDiffusion,-0.6275883162150905
marioDiffusion::level_67.txt,marioDiffusion,-0.8941246386600992
marioDiffusion::level_68.txt,marioDiffusion,-1.2458967967889347
marioDiffusion::level_69.txt,marioDiffusion,-1.0524198050664653
marioDiffusion::level_7.txt,marioDiffusion,-1.7601940222410917
marioDiffusion::level_70.txt,marioDiffusion,-0.9103428475400908
marioDiffusion::level_71.txt,marioDiffusion,-1.3836541024225424
marioDiffusion::level_72.txt,marioDiffusion,-1.2675689511108192
marioDiffusion::level_73.txt,marioDiffusion,-1.5374636531655554
marioDiffusion::level_74.txt,marioDiffusion,-1.1450259851378293
marioDiffusion::level_75.txt,marioDiffusion,-0.6255529119744166
marioDiffusion::level_76.txt,marioDiffusion,-0.7492958084276373
marioDiffusion::level_77.txt,marioDiffusion,-1.4685070667705324
marioDiffusion::level_78.txt,marioDiffusion,-0.921019701987791
marioDiffusion::level_79.txt,marioDiffusion,-1.5868773490691985
marioDiffusion::level_8.txt,marioDiffusion,-1.5233956473321357
marioDiffusion::level_80.txt,marioDiffusion,-0.4626730280434167
marioDiffusion::level_81.txt,marioDiffusion,-0.5812428367268301
marioDiffusion::level_82.txt,marioDiffusion,-0.5969895445664517
marioDiffusion::level_83.txt,marioDiffusion,-0.9931651355314156
marioDiffusion::level_84.txt,marioDiffusion,-1.4810886808742756
marioDiffusion::level_85.txt,marioDiffusion,-0.7284484958298053
marioDiffusion::level_86.txt,marioDiffusion,-0.03947664711091073
marioDiffusion::level_87.txt,marioDiffusion,-1.8865876555613872
marioDiffusion::level_88.txt,marioDiffusion,0.27240697503544337
marioDiffusion::level_89.txt,marioDiffusion,-1.0120379892901987
marioDiffusion::level_9.txt,marioDiffusion,-0.9060381770921361
marioDiffusion::level_90.txt,marioDiffusion,-0.5217402813686826
marioDiffusion::level_91.txt,marioDiffusion,-0.6579090781445095
marioDiffusion::level_92.txt,marioDiffusion,-0.8473293601947034
marioDiffusion::level_93.txt,marioDiffusion,-0.9673750306246678
marioDiffusion::level_94.txt,marioDiffusion,-1.237435169764449
marioDiffusion::level_95.txt,marioDiffusion,-0.813279032253257
marioDiffusion::level_96.txt,marioDiffusion,-1.5484122289883255
marioDiffusion::level_97.txt,marioDiffusion,-0.4630492656795817
marioDiffusion::level_98.txt,marioDiffusion,0.14506109308775117
marioDiffusion::level_99.txt,marioDiffusion,-1.1907594972732019
mariogan::level_1.txt,mariogan,-0.8513031992484502
mariogan::level_10.txt,mariogan,-0.7263059208475443
mariogan::level_100.txt,mariogan,-0.7050442905045943
mariogan::level_11.txt,mariogan,-0.11942911291446551
mariogan::level_12.txt,mariogan,-0.6359187004463278
mariogan::level_13.txt,mariogan,-0.3973319993160065
mariogan::level_14.txt,mariogan,-0.4514011959938256
mariogan::level_15.txt,mariogan,-0.08851562923288048
mariogan::level_16.txt,mariogan,-0.17569785072342273
mariogan::level_17.txt,mariogan,0.2572076937116648
mariogan::level_18.txt,mariogan,-0.09561827248829091
mariogan::level_19.txt,mariogan,-0.021474931573066437
mariogan::level_2.txt,mariogan,-0.6230368330014417
mariogan::level_20.txt,mariogan,-0.5832485954789539
mariogan::level_21.txt,mariogan,0.09097792117330374
mariogan::level_22.txt,mariogan,0.19166124495755663
mariogan::level_23.txt,mariogan,-0.426306377107522
mariogan::level_24.txt,mariogan,-0.26822960936349327
mariogan::level_25.txt,mariogan,-0.3477617985133497
mariogan::level_26.txt,mariogan,-0.7984900019110961
mariogan::level_27.txt,mariogan,-0.5394095195515992
mariogan::level_28.txt,mariogan,-0.34307116539191296
mariogan::level_29.txt,mariogan,-0.8002272807153493
mariogan::level_3.txt,mariogan,-0.8883986920215415
mariogan::level_30.txt,mariogan,-0.23515585587733026
mariogan::level_31.txt,mariogan,-0.16068281403003612
mariogan::level_32.txt,mariogan,-0.570656671075096
mariogan::level_33.txt,mariogan,-1.0822198082632464
mariogan::level_34.txt,mariogan,-0.9434445250354345
mariogan::level_35.txt,mariogan,-0.5644402312484023
mariogan::level_36.txt,mariogan,-0.06007970648917846
mariogan::level_37.txt,mariogan,-0.48010468965444947
mariogan::level_38.txt,mariogan,0.24804004692493375
mariogan::level_39.txt,mariogan,-0.5236904183675718
mariogan::level_4.txt,mariogan,0.15027231921812628
mariogan::level_40.txt,mariogan,0.4990009687666053
mariogan::level_41.txt,mariogan,-0.358860816767837
mariogan::level_42.txt,mariogan,-0.5132884419165009
mariogan::level_43.txt,mariogan,0.15264607002039132
mariogan::level_44.txt,mariogan,-0.40718385334457424
mariogan::level_45.txt,mariogan,0.08793084365066499
mariogan::level_46.txt,mariogan,-1.0147920467957756
mariogan::level_47.txt,mariogan,-0.14315772152332212
mariogan::level_48.txt,mariogan,-0.9358376245154921
mariogan::level_49.txt,mariogan,-1.7729260065494301
mariogan::level_5.txt,mariogan,0.020529072873508997
mariogan::level_50.txt,mariogan,-0.3077991245093135
mariogan::level_51.txt,mariogan,0.05184940865921208
mariogan::level_52.txt,mariogan,0.08531277195995943
mariogan::level_53.txt,mariogan,-0.9283058599169507
mariogan::level_54.txt,mariogan,-0.36784898774544317
mariogan::level_55.txt,mariogan,-0.21291261151208632
mariogan::level_56.txt,mariogan,0.3378353161468968
mariogan::level_57.txt,mariogan,-0.2724215463716258
mariogan::level_58.txt,mariogan,-0.9503244908094512
mariogan::level_59.txt,mariogan,-0.4119050395999042
mariogan::level_6.txt,mariogan,0.14774107269774694
mariogan::level_60.txt,mariogan,0.28661659737011635
mariogan::level_61.txt,mariogan,-0.13536694443147193
mariogan::level_62.txt,mariogan,-1.0368642916775583
mariogan::level_63.txt,mariogan,-0.0375221189951476
